PID,word_type,voice,hits,total,hit_rate,fa_rate,cms,wr_accuracy,ir_rt_mean,ir_rt_median,wr_rt_mean,wr_rt_median
243,LL,A,5,6,0.8333333333333334,0.04861111111111111,0.7847222222222222,1.0,2073.2,1677.0,464.4,413.0
243,LL,P,6,6,1.0,0.04861111111111111,0.9513888888888888,1.0,2333.5,2034.0,697.6666666666666,478.5
245,HH,A,2,4,0.5,0.09375,0.40625,0.5,1252.5,1252.5,647.5,647.5
245,HH,P,0,4,0.0,0.09375,-0.09375,,,,,
245,HL,A,2,4,0.5,0.09375,0.40625,1.0,1206.5,1206.5,781.0,781.0
245,HL,P,1,4,0.25,0.09375,0.15625,0.0,3834.0,3834.0,915.0,915.0
245,LH,A,2,4,0.5,0.09375,0.40625,0.5,1690.5,1690.5,708.5,708.5
245,LH,P,1,4,0.25,0.09375,0.15625,0.0,1415.0,1415.0,1014.0,1014.0
245,LL,A,0,4,0.0,0.09375,-0.09375,,,,,
245,LL,P,1,4,0.25,0.09375,0.15625,0.0,2128.0,2128.0,98.0,98.0
246,HH,A,3,6,0.5,0.04861111111111111,0.4513888888888889,0.3333333333333333,1949.0,2093.0,697.6666666666666,724.0
246,HH,P,3,6,0.5,0.04861111111111111,0.4513888888888889,0.3333333333333333,1582.6666666666667,1565.0,700.0,723.0
246,HL,A,3,6,0.5,0.04861111111111111,0.4513888888888889,1.0,1971.0,2017.0,904.0,464.0
246,HL,P,3,6,0.5,0.04861111111111111,0.4513888888888889,0.6666666666666666,2017.3333333333333,1960.0,2280.6666666666665,570.0
246,LH,A,3,6,0.5,0.04861111111111111,0.4513888888888889,0.3333333333333333,1911.3333333333333,1961.0,1782.0,731.0
246,LH,P,2,6,0.3333333333333333,0.04861111111111111,0.2847222222222222,1.0,1798.5,1798.5,500.0,500.0
246,LL,A,3,6,0.5,0.04861111111111111,0.4513888888888889,1.0,1317.3333333333333,1315.0,3037.6666666666665,1049.0
246,LL,P,3,6,0.5,0.04861111111111111,0.4513888888888889,0.6666666666666666,1913.3333333333333,1989.0,312.0,208.0
247,HH,A,5,6,0.8333333333333334,0.027777777777777776,0.8055555555555556,1.0,1859.6,1851.0,1326.0,863.0
247,HH,P,6,6,1.0,0.027777777777777776,0.9722222222222222,1.0,1807.0,1659.0,1043.3333333333333,968.5
247,HL,A,5,6,0.8333333333333334,0.027777777777777776,0.8055555555555556,0.8,1637.4,1493.0,1109.2,666.0
247,HL,P,4,6,0.6666666666666666,0.027777777777777776,0.6388888888888888,0.75,1830.25,1962.0,1708.25,937.5
247,LH,A,6,6,1.0,0.027777777777777776,0.9722222222222222,0.8333333333333334,1817.8333333333333,1816.5,2267.8333333333335,2181.0
247,LH,P,6,6,1.0,0.027777777777777776,0.9722222222222222,0.8333333333333334,1711.3333333333333,1822.0,900.6666666666666,777.0
247,LL,A,5,6,0.8333333333333334,0.027777777777777776,0.8055555555555556,1.0,1987.8,1771.0,954.2,694.0
