participant_ID,word_type,voice,hits,misses,n_repeats,hit_rate,fa_rate,corr_memorability
328,HL,Passive,5,1,6,0.8333,0.1111,0.7222
328,HH,Passive,6,0,6,1.0,0.1111,0.8889
329,LL,Active,6,0,6,1.0,0.0764,0.9236
329,LH,Active,3,3,6,0.5,0.0764,0.4236
329,HL,Active,6,0,6,1.0,0.0764,0.9236
329,LH,Passive,5,1,6,0.8333,0.0764,0.7569
329,HH,Active,5,1,6,0.8333,0.0764,0.7569
329,HL,Passive,4,2,6,0.6667,0.0764,0.5903
329,HH,Passive,6,0,6,1.0,0.0764,0.9236
329,LL,Passive,4,2,6,0.6667,0.0764,0.5903
330,LL,Active,2,4,6,0.3333,0.1806,0.1528
330,HH,Active,6,0,6,1.0,0.1806,0.8194
330,LH,Active,6,0,6,1.0,0.1806,0.8194
330,HL,Active,5,1,6,0.8333,0.1806,0.6528
330,HL,Passive,6,0,6,1.0,0.1806,0.8194
330,HH,Passive,6,0,6,1.0,0.1806,0.8194
330,LH,Passive,5,1,6,0.8333,0.1806,0.6528
330,LL,Passive,4,2,6,0.6667,0.1806,0.4861
331,LH,Passive,6,0,6,1.0,0.0486,0.9514
331,LL,Active,5,1,6,0.8333,0.0486,0.7847
331,HL,Active,4,2,6,0.6667,0.0486,0.6181
331,LH,Active,5,1,6,0.8333,0.0486,0.7847
331,HL,Passive,3,3,6,0.5,0.0486,0.4514
331,HH,Passive,6,0,6,1.0,0.0486,0.9514
331,LL,Passive,4,2,6,0.6667,0.0486,0.6181
331,HH,Active,4,2,6,0.6667,0.0486,0.6181
333,LL,Active,5,1,6,0.8333,0.2986,0.5347
333,LH,Active,6,0,6,1.0,0.2986,0.7014
333,LH,Passive,6,0,6,1.0,0.2986,0.7014
333,HH,Passive,5,1,6,0.8333,0.2986,0.5347
333,HL,Active,6,0,6,1.0,0.2986,0.7014
333,LL,Passive,6,0,6,1.0,0.2986,0.7014
333,HL,Passive,6,0,6,1.0,0.2986,0.7014
333,HH,Active,6,0,6,1.0,0.2986,0.7014
339,HL,Passive,6,0,6,1.0,0.2639,0.7361
339,LL,Passive,5,1,6,0.8333,0.2639,0.5694
339,LH,Active,5,1,6,0.8333,0.2639,0.5694
339,HH,Active,6,0,6,1.0,0.2639,0.7361
339,LL,Active,6,0,6,1.0,0.2639,0.7361
339,HL,Active,6,0,6,1.0,0.2639,0.7361
339,HH,Passive,6,0,6,1.0,0.2639,0.7361
339,LH,Passive,6,0,6,1.0,0.2639,0.7361
340,LH,Active,6,0,6,1.0,0.0556,0.9444
340,HH,Active,6,0,6,1.0,0.0556,0.9444
340,HL,Active,6,0,6,1.0,0.0556,0.9444
340,LL,Passive,6,0,6,1.0,0.0556,0.9444
340,LL,Active,5,1,6,0.8333,0.0556,0.7778
340,HL,Passive,6,0,6,1.0,0.0556,0.9444
340,HH,Passive,6,0,6,1.0,0.0556,0.9444
340,LH,Passive,6,0,6,1.0,0.0556,0.9444
342,LL,Active,6,0,6,1.0,0.3125,0.6875
342,HL,Active,6,0,6,1.0,0.3125,0.6875
342,HL,Passive,6,0,6,1.0,0.3125,0.6875
342,HH,Passive,5,1,6,0.8333,0.3125,0.5208
342,LL,Passive,6,0,6,1.0,0.3125,0.6875
342,LH,Active,6,0,6,1.0,0.3125,0.6875
342,HH,Active,6,0,6,1.0,0.3125,0.6875
342,LH,Passive,6,0,6,1.0,0.3125,0.6875
343,LH,Active,4,2,6,0.6667,0.2292,0.4375
343,LL,Active,3,3,6,0.5,0.2292,0.2708
343,HH,Active,6,0,6,1.0,0.2292,0.7708
343,HH,Passive,4,2,6,0.6667,0.2292,0.4375
343,HL,Active,2,4,6,0.3333,0.2292,0.1042
343,LL,Passive,5,1,6,0.8333,0.2292,0.6042
343,HL,Passive,5,1,6,0.8333,0.2292,0.6042
343,LH,Passive,4,2,6,0.6667,0.2292,0.4375
344,LH,Passive,6,0,6,1.0,0.0556,0.9444
344,HL,Active,5,1,6,0.8333,0.0556,0.7778
344,LL,Active,6,0,6,1.0,0.0556,0.9444
344,LL,Passive,6,0,6,1.0,0.0556,0.9444
344,LH,Active,5,1,6,0.8333,0.0556,0.7778
344,HL,Passive,6,0,6,1.0,0.0556,0.9444
344,HH,Active,6,0,6,1.0,0.0556,0.9444
344,HH,Passive,6,0,6,1.0,0.0556,0.9444
346,HH,Passive,3,1,4,0.75,0.2917,0.4583
346,LH,Passive,4,0,4,1.0,0.2917,0.7083
346,HL,Passive,4,0,4,1.0,0.2917,0.7083
346,LL,Passive,4,0,4,1.0,0.2917,0.7083
346,LH,Active,4,0,4,1.0,0.2917,0.7083
346,LL,Active,3,1,4,0.75,0.2917,0.4583
346,HL,Active,4,0,4,1.0,0.2917,0.7083
346,HH,Active,4,0,4,1.0,0.2917,0.7083
350,HH,Passive,3,3,6,0.5,0.0625,0.4375
350,HL,Active,5,1,6,0.8333,0.0625,0.7708
350,LL,Active,4,2,6,0.6667,0.0625,0.6042
350,HL,Passive,6,0,6,1.0,0.0625,0.9375
350,LH,Active,5,1,6,0.8333,0.0625,0.7708
350,HH,Active,5,1,6,0.8333,0.0625,0.7708
350,LL,Passive,5,1,6,0.8333,0.0625,0.7708
350,LH,Passive,5,1,6,0.8333,0.0625,0.7708
351,HL,Passive,6,0,6,1.0,0.1736,0.8264
351,HH,Active,4,2,6,0.6667,0.1736,0.4931
351,LL,Passive,5,1,6,0.8333,0.1736,0.6597
351,HL,Active,6,0,6,1.0,0.1736,0.8264
351,HH,Passive,6,0,6,1.0,0.1736,0.8264
351,LH,Passive,6,0,6,1.0,0.1736,0.8264
351,LL,Active,6,0,6,1.0,0.1736,0.8264
351,LH,Active,6,0,6,1.0,0.1736,0.8264
354,HL,Active,6,0,6,1.0,0.0694,0.9306
354,HH,Passive,5,1,6,0.8333,0.0694,0.7639
354,LH,Active,4,2,6,0.6667,0.0694,0.5972
354,LL,Active,4,2,6,0.6667,0.0694,0.5972
354,HL,Passive,6,0,6,1.0,0.0694,0.9306
354,LL,Passive,5,1,6,0.8333,0.0694,0.7639
354,HH,Active,4,2,6,0.6667,0.0694,0.5972
354,LH,Passive,4,2,6,0.6667,0.0694,0.5972
355,HL,Active,6,0,6,1.0,0.0556,0.9444
355,HL,Passive,6,0,6,1.0,0.0556,0.9444
355,HH,Active,4,2,6,0.6667,0.0556,0.6111
355,HH,Passive,6,0,6,1.0,0.0556,0.9444
355,LH,Active,5,1,6,0.8333,0.0556,0.7778
355,LH,Passive,5,1,6,0.8333,0.0556,0.7778
355,LL,Active,6,0,6,1.0,0.0556,0.9444
355,LL,Passive,6,0,6,1.0,0.0556,0.9444
356,LL,Passive,6,0,6,1.0,0.0972,0.9028
356,HH,Passive,6,0,6,1.0,0.0972,0.9028
356,LL,Active,5,1,6,0.8333,0.0972,0.7361
356,HL,Active,6,0,6,1.0,0.0972,0.9028
356,HH,Active,5,1,6,0.8333,0.0972,0.7361
356,HL,Passive,6,0,6,1.0,0.0972,0.9028
356,LH,Passive,5,1,6,0.8333,0.0972,0.7361
356,LH,Active,5,1,6,0.8333,0.0972,0.7361
361,LL,Passive,6,0,6,1.0,0.0764,0.9236
361,HH,Passive,6,0,6,1.0,0.0764,0.9236
361,LL,Active,6,0,6,1.0,0.0764,0.9236
361,HL,Passive,5,1,6,0.8333,0.0764,0.7569
361,LH,Passive,6,0,6,1.0,0.0764,0.9236
